 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000-0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (-0.125000+0.000000j)
 (0.125000-0.000000j)
 (-0.125000+0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
 (0.125000-0.000000j)
